Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005950,KR7005950001,이수화학,KOSPI,,8140,2,-150,-1.81,8300,8500,8060,191047,1568246785,214034535660,26294169,STK
134380,KR7134380005,미원화학,KOSPI,,97000,1,800,0.83,96700,97000,96700,1123,108848900,213328996000,2199268,STK
004430,KR7004430005,송원산업,KOSPI,,8880,1,160,1.83,8720,9010,8720,86258,765826245,213120000000,24000000,STK
339770,KR7339770000,교촌에프앤비,KOSPI,,4265,1,90,2.16,4200,4280,4200,69517,295226160,213101066200,49965080,STK
012610,KR7012610002,경인양행,KOSPI,,5030,1,410,8.87,4620,5070,4620,2626940,12907465595,209330315950,41616365,STK
003650,KR7003650009,미창석유,KOSPI,,119900,2,-900,-0.75,120800,121100,119000,1162,139149400,208586672800,1739672,STK
000860,KR7000860007,강남제비스코,KOSPI,,16010,1,630,4.1,15380,16370,15300,80653,1279006435,208130000000,13000000,STK
095570,KR7095570008,AJ네트웍스,KOSPI,,4555,2,-30,-0.65,4550,4595,4525,47308,215333725,206126317245,45252759,STK
002150,KR7002150001,도화엔지니어링,KOSPI,,6100,2,-20,-0.33,6120,6120,6060,28213,171766330,205692000000,33720000,STK
298690,KR7298690009,에어부산,KOSPI,,1763,1,19,1.09,1738,1782,1731,539950,953519741,205636320000,116640000,STK
102260,KR7102260007,동성케미컬,KOSPI,,4095,2,-30,-0.73,4125,4140,4085,60295,247518565,205473959145,50176791,STK
025000,KR7025000001,KPX케미칼,KOSPI,,46800,1,400,0.86,46600,47000,46550,2466,115233425,204923581200,4378709,STK
005430,KR7005430004,한국공항,KOSPI,,64400,2,-300,-0.46,64800,65600,64100,3284,212209700,203913262000,3166355,STK
000520,KR7000520007,삼일제약,KOSPI,,9380,1,30,0.32,9350,9500,9270,70172,654408245,203469187180,21691811,STK
001780,KR7001780006,알루코,KOSPI,,2100,1,10,0.48,2095,2135,2080,553642,1165987431,203343277200,96830132,STK
025620,KR7025620006,차AI헬스케어,KOSPI,,11160,1,610,5.78,10610,11250,10560,40546,444449990,203156338680,18203973,STK
044450,KR7044450005,KSS해운,KOSPI,,8760,1,10,0.11,8800,8860,8720,30478,267430500,202232308800,23085880,STK
214420,KR7214420002,토니모리,KOSPI,,8380,2,-60,-0.71,8400,8480,8320,61435,514433085,201579215620,24054799,STK
001520,KR7001520006,동양,KOSPI,,842,1,2,0.24,844,863,835,2073335,1760280672,200971981046,238684063,STK
009470,KR7009470006,삼화전기,KOSPI,,30100,2,-200,-0.66,30350,30750,29800,35957,1082639550,199075982000,6613820,STK
234080,KR7234080000,JW생명과학,KOSPI,,12530,1,70,0.56,12500,12610,12430,29604,369829130,198406961620,15834554,STK
053690,KR7053690004,한미글로벌,KOSPI,,18090,1,140,0.78,17960,18500,17870,92481,1679541455,198222079500,10957550,STK
016580,KR7016580003,환인제약,KOSPI,,10600,3,0,0.0,10600,10660,10570,10013,106179680,197160742000,18600070,STK
101530,KR7101530004,해태제과식품,KOSPI,,6670,2,-130,-1.91,6810,6910,6660,32685,220963760,194209202740,29116822,STK
010820,KR7010820009,퍼스텍,KOSPI,,3975,2,-15,-0.38,3990,4045,3900,462846,1829375645,193868453550,48771938,STK
102460,KR7102460003,이연제약,KOSPI,,10330,2,-170,-1.62,10570,10570,10250,34682,357887540,192001757630,18586811,STK
001250,KR7001250000,GS글로벌,KOSPI,,2325,1,10,0.43,2315,2360,2295,432583,1006640983,191891001300,82533764,STK
025820,KR7025820002,이구산업,KOSPI,,5720,2,-110,-1.89,5860,5910,5720,532953,3084227725,191288240000,33442000,STK
213500,KR7213500002,한솔제지,KOSPI,,8020,2,-30,-0.37,8040,8050,8000,31733,254476670,190880619520,23800576,STK
272550,KR7272550005,삼양패키징,KOSPI,,12540,2,-50,-0.4,12610,12610,12470,19161,239651730,188957811240,15068406,STK
009070,KR7009070004,KCTC,KOSPI,,6280,2,-110,-1.72,6390,6530,6270,413714,2631933085,188400000000,30000000,STK
003720,KR7003720000,삼영,KOSPI,,5520,2,-200,-3.5,5700,5700,5460,423983,2347791320,187680000000,34000000,STK
016880,KR7016880007,웅진,KOSPI,,2345,2,-25,-1.05,2415,2425,2300,500875,1181750512,187429002600,79927080,STK
400760,KR7400760005,NH올원리츠,KOSPI,,3365,2,-5,-0.15,3370,3380,3360,32655,109935575,184837010375,54929275,STK
001080,KR7001080001,만호제강,KOSPI,,44350,1,3050,7.38,41300,44950,38800,14860,634991200,184052500000,4150000,STK
031440,KR7031440001,신세계푸드,KOSPI,,47100,1,100,0.21,47200,47200,46900,3435,161412800,182393808000,3872480,STK
293480,KR7293480000,하나제약,KOSPI,,10260,2,-100,-0.97,10360,10400,10220,19151,197222450,182350425960,17772946,STK
000390,KR7000390005,삼화페인트,KOSPI,,6700,1,70,1.06,6650,6760,6600,257153,1720109965,182263242300,27203469,STK
006060,KR7006060008,화승인더,KOSPI,,3285,2,-20,-0.61,3335,3340,3280,81878,270190356,181726200000,55320000,STK
004710,KR7004710000,한솔테크닉스,KOSPI,,5650,2,-40,-0.7,5690,5840,5650,72602,413370505,181420810700,32109878,STK
013580,KR7013580006,계룡건설,KOSPI,,20300,1,300,1.5,19990,20550,19950,70456,1429887180,181297412100,8930907,STK
015230,KR7015230006,대창단조,KOSPI,,6330,2,-40,-0.63,6370,6410,6290,20369,129243430,180862215900,28572230,STK
004560,KR7004560009,현대비앤지스틸,KOSPI,,11940,2,-180,-1.49,12200,12200,11910,43901,527902395,180041003340,15078811,STK
004090,KR7004090007,한국석유,KOSPI,,14130,2,-670,-4.53,14490,14490,14050,318312,4507453035,179367915600,12694120,STK
008970,KR7008970006,KBI동양철관,KOSPI,,1719,2,-46,-2.61,1768,1808,1710,1992469,3487385989,178375313133,103766907,STK
037560,KR7037560000,LG헬로비전,KOSPI,,2260,1,5,0.22,2255,2285,2245,86605,195716386,175029914900,77446865,STK
014280,KR7014280002,금강공업,KOSPI,,5840,1,50,0.86,5790,5900,5760,252176,1472951825,171283444880,29329357,STK
084670,KR7084670009,동양고속,KOSPI,,58800,2,-5800,-8.98,65300,66500,58500,238103,14322613550,170259457200,2895569,STK
000020,KR7000020008,동화약품,KOSPI,,6020,2,-20,-0.33,6050,6050,5980,36712,220487455,168147449400,27931470,STK
010100,KR7010100006,한국무브넥스,KOSPI,,5460,2,-60,-1.09,5600,5840,5400,2374118,13359075480,166259293200,30450420,STK
